Date,Open,High,Low,Close,Volume
14-Dec-16,31100.00,31300.00,30100.00,30300.00,1645157
13-Dec-16,29750.00,30500.00,29550.00,30350.00,1898646
12-Dec-16,30400.00,30700.00,29350.00,29550.00,1372477
9-Dec-16,30300.00,30500.00,30000.00,30350.00,870191
8-Dec-16,30300.00,30750.00,30000.00,30300.00,1232883
7-Dec-16,29600.00,30150.00,29550.00,29850.00,1644515
6-Dec-16,28300.00,29250.00,28000.00,29100.00,1347385
5-Dec-16,27500.00,28000.00,27450.00,27800.00,444464
2-Dec-16,28100.00,28250.00,27300.00,27900.00,804282
1-Dec-16,28000.00,28750.00,27700.00,28400.00,894254
